id,created_at,updated_at,country,average,count,s1,s2,s3,s4,s5,type,date_string
171,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.527,45749,2356,870,1743,6098,34682,ios,20161005
172,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.372,154142,9253,4673,8820,28057,103339,android,20161005
173,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.528,45842,2356,871,1741,6118,34756,ios,20161006
174,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.372,154142,9253,4673,8820,28057,103339,android,20161006
175,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.529,45905,2356,871,1743,6121,34814,ios,20161007
176,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,155077,9279,4693,8867,28261,103977,android,20161007
177,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.529,45974,2357,873,1742,6130,34872,ios,20161008
178,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,155077,9279,4693,8867,28261,103977,android,20161008
179,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,155077,9279,4693,8867,28261,103977,android,20161009
180,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.529,46048,2359,874,1747,6137,34931,ios,20161009
181,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.529,46108,2360,874,1746,6141,34987,ios,20161010
182,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,155077,9279,4693,8867,28261,103977,android,20161010
183,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.53,46194,2359,876,1749,6150,35060,ios,20161011
184,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,155077,9279,4693,8867,28261,103977,android,20161011
185,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,155077,9279,4693,8867,28261,103977,android,20161012
186,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.531,46289,2359,876,1750,6155,35149,ios,20161012
187,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.531,46362,2362,877,1750,6171,35202,ios,20161013
188,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,155077,9279,4693,8867,28261,103977,android,20161013
189,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.531,46412,2363,875,1751,6174,35249,ios,20161014
190,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,155077,9279,4693,8867,28261,103977,android,20161014
191,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,155077,9279,4693,8867,28261,103977,android,20161015
192,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.532,46490,2363,880,1752,6180,35315,ios,20161015
193,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,155077,9279,4693,8867,28261,103977,android,20161016
194,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.531,46559,2368,880,1752,6199,35360,ios,20161016
195,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.532,46632,2370,879,1751,6206,35426,ios,20161017
196,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,155077,9279,4693,8867,28261,103977,android,20161017
197,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,155077,9279,4693,8867,28261,103977,android,20161018
198,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.533,46800,2370,880,1759,6226,35565,ios,20161018
199,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.533,46800,2370,880,1759,6226,35565,ios,20161019
200,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,155077,9279,4693,8867,28261,103977,android,20161019
201,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.533,46858,2370,882,1759,6239,35608,ios,20161020
202,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.374,156864,9364,4718,8969,28582,105231,android,20161020
203,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.374,156864,9364,4718,8969,28582,105231,android,20161021
204,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.533,46931,2371,882,1760,6248,35670,ios,20161021
205,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.374,156864,9364,4718,8969,28582,105231,android,20161022
